room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,last_modified,latitude,longitude,location
19104726,1527,8768723,Shared room,,Warsaw,,Warsaw,1,0.0,2,1.0,,25.0,,2017-07-25 13:26:41.615380,52.221031,20.987271,0101000020E61000000A4AD1CABDFC34407B336ABE4A1C4A40
11073471,1527,57485065,Shared room,,Warsaw,,Warsaw,18,3.5,16,1.0,,12.0,,2017-07-25 13:26:41.613328,52.23037,20.994853,0101000020E6100000D653ABAFAEFE344061FD9FC37C1D4A40
15825612,1527,83452561,Shared room,,Warsaw,,Warsaw,8,4.5,1,1.0,,15.0,,2017-07-25 13:26:41.611099,52.234143,21.004096,0101000020E61000005F0B7A6F0C0135402ECBD765F81D4A40
16311883,1527,92455230,Shared room,,Warsaw,,Warsaw,3,4.5,8,1.0,,11.0,,2017-07-25 13:26:41.608898,52.205434,21.185286,0101000020E61000001B683EE76E2F354044BE4BA94B1A4A40
17513844,1527,102070481,Shared room,,Warsaw,,Warsaw,0,0.0,2,1.0,,13.0,,2017-07-25 13:26:41.606332,52.238102,21.082272,0101000020E610000063601DC70F1535405C8E57207A1E4A40
11077883,1527,57100795,Shared room,,Warsaw,,Warsaw,13,5.0,12,1.0,,14.0,,2017-07-25 13:26:41.603813,52.221894,21.011189,0101000020E610000030134548DD023540DD96C805671C4A40
19064344,1527,76489540,Shared room,,Warsaw,,Warsaw,1,0.0,1,1.0,,24.0,,2017-07-25 13:26:41.601282,52.254985,20.994485,0101000020E6100000D15CA79196FE34403BFC3559A3204A40
4144170,1527,21497157,Shared room,,Warsaw,,Warsaw,63,5.0,2,1.0,,28.0,,2017-07-25 13:26:39.305333,52.219899,20.985017,0101000020E61000000801F9122AFC344028B682A6251C4A40
19133410,1527,34936067,Shared room,,Warsaw,,Warsaw,0,0.0,1,1.0,,28.0,,2017-07-25 13:26:39.303134,52.229301,21.074251,0101000020E6100000FFB1101D0213354055F833BC591D4A40
20022615,1527,142180079,Shared room,,Warsaw,,Warsaw,0,0.0,4,1.0,,34.0,,2017-07-25 13:26:39.300888,52.174236,21.005601,0101000020E61000002CD32F116F01354097E4805D4D164A40
18270370,1527,103019077,Shared room,,Warsaw,,Warsaw,5,5.0,2,1.0,,11.0,,2017-07-25 13:26:39.298692,52.14118,21.033631,0101000020E6100000BC218D0A9C083540B56CAD2F12124A40
